"DATE","WEIGHT","SEX","TOE","FER","PRE","LAC","session.start","num.trap.days","POP"
1994-03-15,34,"F","1//110",TRUE,FALSE,FALSE,1994-03-15,3,9
1994-03-15,33,"M","1//120",TRUE,NA,FALSE,1994-03-15,3,9
1994-03-15,22,"F","1//130",TRUE,FALSE,FALSE,1994-03-15,3,9
1994-03-15,36,"M","1//15",TRUE,NA,FALSE,1994-03-15,3,9
1994-03-15,38,"M","1//16",TRUE,NA,FALSE,1994-03-15,3,9
1994-03-15,27,"F","1//18",TRUE,FALSE,FALSE,1994-03-15,3,9
1994-03-16,40,"M","1//14",TRUE,NA,FALSE,1994-03-15,3,9
1994-03-16,37,"M","1//150",TRUE,NA,FALSE,1994-03-15,3,9
1994-03-16,40,"M","1//160",TRUE,NA,FALSE,1994-03-15,3,9
1994-03-16,29,"F","1//18",TRUE,FALSE,FALSE,1994-03-15,3,9
1994-03-17,24,"F","1//110",TRUE,FALSE,FALSE,1994-03-15,3,9
1994-03-17,32,"M","1//15",TRUE,NA,FALSE,1994-03-15,3,9
1994-03-17,34,"M","1//150",TRUE,NA,FALSE,1994-03-15,3,9
1994-03-17,32,"M","1//160",TRUE,NA,FALSE,1994-03-15,3,9
1994-03-17,29,"F","1//18",TRUE,FALSE,FALSE,1994-03-15,3,9
1994-03-22,40,"M","1//1100",TRUE,NA,FALSE,1994-03-22,3,19
1994-03-22,41,"F","1//18",TRUE,FALSE,FALSE,1994-03-22,3,19
1994-03-22,76,"M","1//210",TRUE,NA,FALSE,1994-03-22,3,19
1994-03-22,27,"F","1//25",TRUE,FALSE,FALSE,1994-03-22,3,19
1994-03-22,45,"F","1//270",TRUE,FALSE,FALSE,1994-03-22,3,19
1994-03-22,47,"M","1//28",TRUE,NA,FALSE,1994-03-22,3,19
1994-03-23,31,"F","1//110",TRUE,FALSE,FALSE,1994-03-22,3,19
1994-03-23,42,"M","1//140",TRUE,NA,FALSE,1994-03-22,3,19
1994-03-23,38,"M","1//15",TRUE,NA,FALSE,1994-03-22,3,19
1994-03-23,34,"M","1//2100",TRUE,NA,FALSE,1994-03-22,3,19
1994-03-23,34,"F","1//270",TRUE,FALSE,FALSE,1994-03-22,3,19
1994-03-23,34,"M","1//28",TRUE,NA,FALSE,1994-03-22,3,19
1994-03-23,33,"F","1//35",TRUE,FALSE,FALSE,1994-03-22,3,19
1994-03-23,32,"M","1//36",TRUE,NA,FALSE,1994-03-22,3,19
1994-03-23,43,"M","1//37",TRUE,NA,FALSE,1994-03-22,3,19
1994-03-23,49,"M","1//38",TRUE,NA,FALSE,1994-03-22,3,19
1994-03-23,55,"M","1//650",TRUE,NA,FALSE,1994-03-22,3,19
1994-03-24,29,"F","1//130",TRUE,FALSE,FALSE,1994-03-22,3,19
1994-03-24,38,"M","1//140",TRUE,NA,FALSE,1994-03-22,3,19
1994-03-24,30,"F","1//18",TRUE,FALSE,FALSE,1994-03-22,3,19
1994-03-24,34,"F","1//270",TRUE,FALSE,FALSE,1994-03-22,3,19
1994-03-24,41,"M","1//310",TRUE,NA,FALSE,1994-03-22,3,19
1994-03-24,46,"M","1//320",TRUE,NA,FALSE,1994-03-22,3,19
1994-03-24,53,"M","1//340",TRUE,NA,FALSE,1994-03-22,3,19
1994-03-24,54,"M","1//650",TRUE,NA,FALSE,1994-03-22,3,19
1994-03-29,39,"F","1//110",TRUE,FALSE,FALSE,1994-03-29,1,9
1994-03-29,49,"M","1//320",TRUE,NA,FALSE,1994-03-29,1,9
1994-04-06,43,"F","1//110",TRUE,FALSE,FALSE,1994-04-06,2,16
1994-04-06,39,"F","1//130",TRUE,FALSE,FALSE,1994-04-06,2,16
1994-04-06,28,"F","1//18",TRUE,FALSE,FALSE,1994-04-06,2,16
1994-04-06,41,"M","1//2100",TRUE,NA,FALSE,1994-04-06,2,16
1994-04-06,44,"F","1//35",TRUE,FALSE,FALSE,1994-04-06,2,16
1994-04-06,36,"M","1//390",TRUE,NA,FALSE,1994-04-06,2,16
1994-04-06,54,"F","1//45",TRUE,TRUE,FALSE,1994-04-06,2,16
1994-04-06,57,"M","1//47",TRUE,NA,FALSE,1994-04-06,2,16
1994-04-07,55,"M","1//1100",TRUE,NA,FALSE,1994-04-06,2,16
1994-04-07,43,"F","1//130",TRUE,TRUE,FALSE,1994-04-06,2,16
1994-04-07,55,"M","1//15",TRUE,NA,FALSE,1994-04-06,2,16
1994-04-07,27,"F","1//18",TRUE,FALSE,FALSE,1994-04-06,2,16
1994-04-07,42,"M","1//430",TRUE,NA,FALSE,1994-04-06,2,16
1994-04-07,63,"M","1//440",TRUE,NA,FALSE,1994-04-06,2,16
1994-04-07,39,"F","1//450",TRUE,FALSE,FALSE,1994-04-06,2,16
1994-04-07,63,"M","1//460",TRUE,NA,FALSE,1994-04-06,2,16
1994-04-07,57,"M","1//47",TRUE,NA,FALSE,1994-04-06,2,16
1994-04-07,65,"M","1//490",TRUE,NA,FALSE,1994-04-06,2,16
1994-04-12,52,"F","1//110",TRUE,FALSE,FALSE,1994-04-12,1,12
1994-04-12,30,"F","1//18",TRUE,FALSE,FALSE,1994-04-12,1,12
1994-04-12,43,"M","1//2100",TRUE,NA,FALSE,1994-04-12,1,12
1994-04-12,54,"M","1//520",TRUE,NA,FALSE,1994-04-12,1,12
1994-04-12,37,"F","1//530",TRUE,FALSE,FALSE,1994-04-12,1,12
1994-04-12,41,"F","1//540",TRUE,FALSE,FALSE,1994-04-12,1,12
1994-05-04,59,"M","1//1100",TRUE,NA,FALSE,1994-05-04,3,28
1994-05-04,56,"M","1//2100",TRUE,NA,FALSE,1994-05-04,3,28
1994-05-04,63,"M","1//37",TRUE,NA,FALSE,1994-05-04,3,28
1994-05-04,65,"M","1//460",TRUE,NA,FALSE,1994-05-04,3,28
1994-05-04,56,"M","1//5100",TRUE,NA,FALSE,1994-05-04,3,28
1994-05-04,62,"F","1//570",TRUE,FALSE,FALSE,1994-05-04,3,28
1994-05-04,61,"M","1//570 B",TRUE,NA,FALSE,1994-05-04,3,28
1994-05-04,43,"F","1//580",TRUE,FALSE,FALSE,1994-05-04,3,28
1994-05-04,44,"F","1//590",TRUE,FALSE,FALSE,1994-05-04,3,28
1994-05-04,66,"M","1//610",TRUE,NA,FALSE,1994-05-04,3,28
1994-05-04,68,"F","1//6100",TRUE,TRUE,FALSE,1994-05-04,3,28
1994-05-04,64,"F","1//630",TRUE,FALSE,FALSE,1994-05-04,3,28
1994-05-04,72,"F","1//640",TRUE,TRUE,FALSE,1994-05-04,3,28
1994-05-04,67,"F","1//660",TRUE,FALSE,FALSE,1994-05-04,3,28
1994-05-04,78,"M","1//670",TRUE,NA,FALSE,1994-05-04,3,28
1994-05-04,75,"M","1//680",TRUE,NA,FALSE,1994-05-04,3,28
1994-05-04,75,"F","1//710",TRUE,TRUE,FALSE,1994-05-04,3,28
1994-05-04,58,"F","1//720",TRUE,TRUE,TRUE,1994-05-04,3,28
1994-05-04,70,"M","1//730",TRUE,NA,FALSE,1994-05-04,3,28
1994-05-05,70,"M","1//15",TRUE,NA,FALSE,1994-05-04,3,28
1994-05-05,67,"F","1//35",TRUE,FALSE,FALSE,1994-05-04,3,28
1994-05-05,58,"M","1//37",TRUE,NA,FALSE,1994-05-04,3,28
1994-05-05,70,"M","1//460",TRUE,NA,FALSE,1994-05-04,3,28
1994-05-05,72,"F","1//530",TRUE,TRUE,FALSE,1994-05-04,3,28
1994-05-05,57,"F","1//570",TRUE,FALSE,FALSE,1994-05-04,3,28
1994-05-05,53,"M","1//570 B",TRUE,NA,FALSE,1994-05-04,3,28
