"DATE","WEIGHT","SEX","TOE","is.adult","PRE","LAC","session.start","num.trap.days","POP"
1994-03-15,34,"F","1//110",0,FALSE,FALSE,1994-03-15,3,9
1994-03-15,22,"F","1//130",0,FALSE,FALSE,1994-03-15,3,9
1994-03-15,27,"F","1//18",0,FALSE,FALSE,1994-03-15,3,9
1994-03-16,29,"F","1//18",0,FALSE,FALSE,1994-03-15,3,9
1994-03-17,24,"F","1//110",0,FALSE,FALSE,1994-03-15,3,9
1994-03-17,29,"F","1//18",0,FALSE,FALSE,1994-03-15,3,9
1994-03-22,41,"F","1//18",0,FALSE,FALSE,1994-03-22,3,19
1994-03-22,27,"F","1//25",0,FALSE,FALSE,1994-03-22,3,19
1994-03-22,45,"F","1//270",0,FALSE,FALSE,1994-03-22,3,19
1994-03-23,31,"F","1//110",1,FALSE,FALSE,1994-03-22,3,19
1994-03-23,34,"F","1//270",1,FALSE,FALSE,1994-03-22,3,19
1994-03-23,33,"F","1//35",0,FALSE,FALSE,1994-03-22,3,19
1994-03-24,29,"F","1//130",1,FALSE,FALSE,1994-03-22,3,19
1994-03-24,30,"F","1//18",0,FALSE,FALSE,1994-03-22,3,19
1994-03-24,34,"F","1//270",1,FALSE,FALSE,1994-03-22,3,19
1994-03-29,39,"F","1//110",1,FALSE,FALSE,1994-03-29,1,9
1994-04-06,43,"F","1//110",1,FALSE,FALSE,1994-04-06,2,16
1994-04-06,39,"F","1//130",1,FALSE,FALSE,1994-04-06,2,16
1994-04-06,28,"F","1//18",1,FALSE,FALSE,1994-04-06,2,16
1994-04-06,44,"F","1//35",1,FALSE,FALSE,1994-04-06,2,16
1994-04-06,54,"F","1//45",1,TRUE,FALSE,1994-04-06,2,16
1994-04-07,43,"F","1//130",1,TRUE,FALSE,1994-04-06,2,16
1994-04-07,27,"F","1//18",0,FALSE,FALSE,1994-04-06,2,16
1994-04-07,39,"F","1//450",1,FALSE,FALSE,1994-04-06,2,16
1994-04-12,52,"F","1//110",1,FALSE,FALSE,1994-04-12,1,12
1994-04-12,30,"F","1//18",1,FALSE,FALSE,1994-04-12,1,12
1994-04-12,37,"F","1//530",1,FALSE,FALSE,1994-04-12,1,12
1994-04-12,41,"F","1//540",1,FALSE,FALSE,1994-04-12,1,12
1994-05-04,62,"F","1//570",1,FALSE,FALSE,1994-05-04,3,28
1994-05-04,43,"F","1//580",1,FALSE,FALSE,1994-05-04,3,28
1994-05-04,44,"F","1//590",1,FALSE,FALSE,1994-05-04,3,28
1994-05-04,68,"F","1//6100",1,TRUE,FALSE,1994-05-04,3,28
1994-05-04,64,"F","1//630",1,FALSE,FALSE,1994-05-04,3,28
1994-05-04,72,"F","1//640",1,TRUE,FALSE,1994-05-04,3,28
1994-05-04,67,"F","1//660",1,FALSE,FALSE,1994-05-04,3,28
1994-05-04,75,"F","1//710",1,TRUE,FALSE,1994-05-04,3,28
1994-05-04,58,"F","1//720",1,TRUE,TRUE,1994-05-04,3,28
1994-05-05,67,"F","1//35",1,FALSE,FALSE,1994-05-04,3,28
1994-05-05,72,"F","1//530",1,TRUE,FALSE,1994-05-04,3,28
1994-05-05,57,"F","1//570",1,FALSE,FALSE,1994-05-04,3,28
1994-05-05,38,"F","1//580",1,FALSE,FALSE,1994-05-04,3,28
1994-05-05,60,"F","1//630",1,FALSE,FALSE,1994-05-04,3,28
1994-05-05,69,"F","1//640",1,TRUE,FALSE,1994-05-04,3,28
1994-05-05,67,"F","1//660",1,FALSE,FALSE,1994-05-04,3,28
1994-05-05,77,"F","1//710",1,TRUE,FALSE,1994-05-04,3,28
1994-05-05,54,"F","1//720",1,TRUE,FALSE,1994-05-04,3,28
1994-05-05,51,"F","1//770",1,FALSE,FALSE,1994-05-04,3,28
1994-05-06,50,"F","1//570",1,FALSE,FALSE,1994-05-04,3,28
1994-05-06,37,"F","1//580",1,FALSE,FALSE,1994-05-04,3,28
1994-05-06,43,"F","1//590",1,FALSE,FALSE,1994-05-04,3,28
1994-05-06,58,"F","1//6100",1,FALSE,FALSE,1994-05-04,3,28
1994-05-06,58,"F","1//630",1,FALSE,FALSE,1994-05-04,3,28
1994-05-06,65,"F","1//830",1,FALSE,FALSE,1994-05-04,3,28
1994-05-06,62,"F","1//840",1,FALSE,FALSE,1994-05-04,3,28
1994-05-06,52,"F","1//870",1,TRUE,TRUE,1994-05-04,3,28
1994-06-09,16,"F","1//1060",0,FALSE,FALSE,1994-06-09,3,27
1994-06-09,36,"F","1//1090",1,FALSE,FALSE,1994-06-09,3,27
1994-06-09,59,"F","1//630",1,TRUE,FALSE,1994-06-09,3,27
1994-06-09,94,"F","1//640",1,TRUE,FALSE,1994-06-09,3,27
1994-06-09,46,"F","1//8100",1,FALSE,FALSE,1994-06-09,3,27
1994-06-10,12,"F","1//10100",0,FALSE,FALSE,1994-06-09,3,27
1994-06-10,39,"F","1//2070",0,FALSE,FALSE,1994-06-09,3,27
1994-06-10,63,"F","1//710",1,TRUE,FALSE,1994-06-09,3,27
1994-06-10,46,"F","1//770",1,FALSE,TRUE,1994-06-09,3,27
1994-06-11,50,"F","1//20100",1,FALSE,FALSE,1994-06-09,3,27
1994-06-11,43,"F","1//2090",0,FALSE,FALSE,1994-06-09,3,27
1994-06-11,70,"F","1//3060",1,TRUE,FALSE,1994-06-09,3,27
1994-06-11,19,"F","1//3070",0,FALSE,FALSE,1994-06-09,3,27
1994-06-11,20,"F","1//3080",0,FALSE,FALSE,1994-06-09,3,27
1994-06-11,52,"F","1//3090",1,FALSE,FALSE,1994-06-09,3,27
1994-06-11,20,"F","1//4070",0,FALSE,FALSE,1994-06-09,3,27
1994-06-11,64,"F","1//710",1,TRUE,FALSE,1994-06-09,3,27
1994-06-28,24,"F","1//10100",0,FALSE,FALSE,1994-06-28,3,30
1994-06-28,46,"F","1//3060",1,TRUE,TRUE,1994-06-28,3,30
1994-06-28,32,"F","1//3070",0,FALSE,FALSE,1994-06-28,3,30
1994-06-28,44,"F","1//4070",0,FALSE,FALSE,1994-06-28,3,30
1994-06-28,27,"F","1//50100",0,FALSE,FALSE,1994-06-28,3,30
1994-06-28,32,"F","1//5080",0,FALSE,FALSE,1994-06-28,3,30
1994-06-28,53,"F","1//630",1,FALSE,FALSE,1994-06-28,3,30
1994-06-28,80,"F","1//640",1,TRUE,FALSE,1994-06-28,3,30
1994-06-28,59,"F","1//710",1,TRUE,FALSE,1994-06-28,3,30
1994-06-28,65,"F","1//830",1,FALSE,FALSE,1994-06-28,3,30
1994-06-29,80,"F","1//1520",1,FALSE,FALSE,1994-06-28,3,30
1994-06-29,40,"F","1//1550",1,FALSE,FALSE,1994-06-28,3,30
1994-06-29,42,"F","1//2090",1,FALSE,FALSE,1994-06-28,3,30
1994-06-29,72,"F","1//640",1,TRUE,FALSE,1994-06-28,3,30
1994-06-30,24,"F","1//10100",0,FALSE,FALSE,1994-06-28,3,30
1994-06-30,58,"F","1//3090",1,FALSE,FALSE,1994-06-28,3,30
1994-06-30,56,"F","1//35",1,FALSE,FALSE,1994-06-28,3,30
1994-06-30,46,"F","1//4070",1,FALSE,FALSE,1994-06-28,3,30
1994-06-30,55,"F","1//630",1,TRUE,FALSE,1994-06-28,3,30
1994-06-30,73,"F","1//640",1,TRUE,FALSE,1994-06-28,3,30
1994-06-30,56,"F","1//710",1,TRUE,FALSE,1994-06-28,3,30
