"DATE1","DATE2","W1","W2","TOE","FER1","FER2","POP"
1994-03-15,1994-04-06,34,43,"1//110",TRUE,TRUE,9
1994-03-15,1994-04-06,22,39,"1//130",TRUE,TRUE,9
1994-03-15,1994-04-06,27,28,"1//18",TRUE,TRUE,9
1994-06-09,1994-07-20,16,43,"1//1060",TRUE,TRUE,27
1994-06-09,1994-07-19,46,43,"1//8100",TRUE,TRUE,27
1994-06-10,1994-06-28,12,24,"1//10100",TRUE,TRUE,27
1994-06-28,1994-07-26,24,38,"1//10100",TRUE,TRUE,30
1994-06-11,1994-06-29,43,42,"1//2090",TRUE,TRUE,27
1994-06-29,1994-07-21,42,34,"1//2090",TRUE,TRUE,30
1994-06-11,1994-06-28,19,32,"1//3070",TRUE,TRUE,27
1994-06-28,1994-07-19,32,48,"1//3070",TRUE,TRUE,30
1994-06-11,1994-06-30,52,58,"1//3090",TRUE,TRUE,27
1994-06-11,1994-06-28,20,44,"1//4070",TRUE,TRUE,27
1994-06-28,1994-07-19,44,53,"1//4070",TRUE,TRUE,30
1994-06-28,1994-07-26,27,46,"1//50100",TRUE,TRUE,30
1994-06-28,1994-07-19,32,41,"1//5080",TRUE,TRUE,30
1994-06-29,1994-07-26,40,49,"1//1550",TRUE,TRUE,30
1994-09-06,1994-10-04,34,34,"1//1610",TRUE,TRUE,95
1994-10-04,1994-11-04,34,38,"1//1610",TRUE,TRUE,178
1994-07-28,1994-09-06,42,39,"1//18100",TRUE,TRUE,37
1994-07-28,1994-09-07,24,34,"1//1830",TRUE,TRUE,37
1994-11-02,1994-11-17,44,39,"1//11070",TRUE,TRUE,512
1994-11-17,1994-12-13,39,51,"1//11070",TRUE,TRUE,436
1994-11-02,1994-12-13,42,50,"1//12060",TRUE,TRUE,512
1994-09-06,1994-10-04,40,39,"1//130100",TRUE,TRUE,95
1994-10-04,1994-10-22,39,37,"1//130100",TRUE,TRUE,178
1994-10-22,1994-11-09,37,39,"1//130100",TRUE,TRUE,211
1994-11-09,1994-12-13,39,44,"1//130100",TRUE,TRUE,361
1994-09-06,1994-10-05,34,34,"1//14090",TRUE,TRUE,95
1994-10-05,1994-10-25,34,35,"1//14090",TRUE,TRUE,178
1994-09-06,1994-10-04,31,29,"1//1790 B",TRUE,TRUE,95
1994-10-04,1994-11-03,29,38,"1//1790 B",TRUE,TRUE,178
1994-11-03,1994-12-13,38,36,"1//1790 B",TRUE,TRUE,512
1994-09-06,1994-10-04,20,23,"1//2510",TRUE,TRUE,95
1994-11-16,1994-12-14,31,25,"1//2510",TRUE,TRUE,436
1994-12-14,1995-01-10,25,27,"1//2510",TRUE,TRUE,332
1994-09-06,1994-10-04,21,22,"1//2550",TRUE,TRUE,95
1994-10-04,1994-11-02,22,35,"1//2550",TRUE,TRUE,178
1994-10-25,1994-11-09,30,33,"1//2570",TRUE,TRUE,211
1994-11-17,1994-12-14,33,30,"1//2590",TRUE,TRUE,436
1994-09-07,1994-10-05,12,18,"1//2710",TRUE,TRUE,95
1994-10-05,1994-11-03,18,31,"1//2710",TRUE,TRUE,178
1994-09-07,1994-10-05,24,25,"1//2730",TRUE,TRUE,95
1994-10-05,1994-11-04,25,34,"1//2730",TRUE,TRUE,178
1994-09-07,1994-10-04,25,29,"1//2760",TRUE,TRUE,95
1994-10-04,1994-11-04,29,39,"1//2760",TRUE,TRUE,178
1994-11-04,1994-12-14,39,31,"1//2760",TRUE,TRUE,512
1994-09-07,1994-10-04,23,23,"1//2840",TRUE,TRUE,95
1994-10-04,1994-10-21,23,29,"1//2840",TRUE,TRUE,178
1994-10-21,1994-11-09,29,29,"1//2840",TRUE,TRUE,211
1994-11-09,1994-12-13,29,38,"1//2840",TRUE,TRUE,361
1994-12-13,1995-01-10,38,27,"1//2840",TRUE,TRUE,332
1994-11-04,1994-12-13,34,44,"1//22060",TRUE,TRUE,512
1994-09-08,1994-10-05,20,23,"1//22070",TRUE,TRUE,95
1994-10-05,1994-11-02,23,26,"1//22070",TRUE,TRUE,178
1994-11-02,1994-11-17,26,23,"1//22070",TRUE,TRUE,512
1994-11-17,1994-12-14,23,24,"1//22070",TRUE,TRUE,436
1994-12-14,1995-01-10,24,24,"1//22070",TRUE,TRUE,332
1994-09-08,1994-10-05,18,21,"1//22090",TRUE,TRUE,95
1994-10-05,1994-10-25,21,25,"1//22090",TRUE,TRUE,178
1994-10-25,1994-11-15,25,28,"1//22090",TRUE,TRUE,211
1994-09-08,1994-10-04,19,25,"1//23080",TRUE,TRUE,95
1994-10-04,1994-11-02,25,35,"1//23080",TRUE,TRUE,178
1994-09-08,1994-10-04,20,25,"1//24060",TRUE,TRUE,95
1994-10-04,1994-10-25,25,29,"1//24060",TRUE,TRUE,178
1994-10-25,1994-11-15,29,29,"1//24060",TRUE,TRUE,211
1994-10-04,1994-11-04,38,37,"1//24080",TRUE,TRUE,178
1994-11-04,1994-12-14,37,37,"1//24080",TRUE,TRUE,512
1995-03-03,1995-04-05,42,34,"1//24080",TRUE,TRUE,147
1994-10-04,1994-11-04,23,28,"1//24090",TRUE,TRUE,178
1994-11-04,1994-12-13,28,33,"1//24090",TRUE,TRUE,512
1994-12-13,1995-01-10,33,29,"1//24090",TRUE,TRUE,332
1994-10-04,1994-11-02,25,32,"1//250100",TRUE,TRUE,178
1994-11-02,1994-11-17,32,25,"1//250100",TRUE,TRUE,512
1994-11-17,1994-12-14,25,27,"1//250100",TRUE,TRUE,436
1994-10-04,1994-11-02,20,26,"1//25060",TRUE,TRUE,178
1994-11-02,1994-11-17,26,25,"1//25060",TRUE,TRUE,512
1994-11-17,1994-12-13,25,34,"1//25060",TRUE,TRUE,436
1994-10-04,1994-10-21,36,40,"1//25090",TRUE,TRUE,178
1994-10-21,1994-11-09,40,38,"1//25090",TRUE,TRUE,211
1994-10-04,1994-11-03,23,30,"1//31090",TRUE,TRUE,178
1994-11-03,1994-12-13,30,35,"1//31090",TRUE,TRUE,512
1994-10-04,1994-11-03,27,31,"1//32080",TRUE,TRUE,178
1994-11-17,1994-12-13,31,35,"1//32090",TRUE,TRUE,436
1994-10-04,1994-11-04,24,32,"1//33060",TRUE,TRUE,178
1994-11-04,1994-12-13,32,35,"1//33060",TRUE,TRUE,512
1994-10-04,1994-11-02,23,28,"1//34060",TRUE,TRUE,178
1994-11-02,1994-11-17,28,30,"1//34060",TRUE,TRUE,512
1994-11-17,1994-12-13,30,36,"1//34060",TRUE,TRUE,436
1994-12-13,1995-01-10,36,28,"1//34060",TRUE,TRUE,332
1995-01-10,1995-02-07,28,27,"1//34060",TRUE,TRUE,196
1995-02-07,1995-03-02,27,30,"1//34060",TRUE,TRUE,116
1994-11-15,1994-12-13,31,39,"1//34090",TRUE,TRUE,436
1994-10-04,1994-11-04,35,39,"1//35070",TRUE,TRUE,178
1994-11-04,1994-12-13,39,44,"1//35070",TRUE,TRUE,512
1994-10-04,1994-11-02,17,25,"1//35080",TRUE,TRUE,178
1994-11-02,1994-11-17,25,20,"1//35080",TRUE,TRUE,512
1994-11-17,1994-12-13,20,33,"1//35080",TRUE,TRUE,436
1994-10-04,1994-10-25,29,34,"1//35100",TRUE,TRUE,178
1994-10-25,1994-11-16,34,34,"1//35100",TRUE,TRUE,211
1994-11-16,1994-12-13,34,41,"1//35100",TRUE,TRUE,436
1994-10-04,1994-11-09,32,36,"1//3540",TRUE,TRUE,178
1994-11-09,1994-12-13,36,42,"1//3540",TRUE,TRUE,361
1994-12-13,1995-01-11,42,32,"1//3540",TRUE,TRUE,332
1995-01-11,1995-02-07,32,34,"1//3540",TRUE,TRUE,196
1995-02-07,1995-03-02,34,42,"1//3540",TRUE,TRUE,116
1994-10-04,1994-11-02,20,32,"1//36100",TRUE,TRUE,178
1994-11-17,1994-12-13,27,35,"1//3650",TRUE,TRUE,436
1994-10-04,1994-10-25,22,23,"1//3670",TRUE,TRUE,178
1994-10-25,1994-11-16,23,28,"1//3670",TRUE,TRUE,211
1994-11-16,1994-12-13,28,33,"1//3670",TRUE,TRUE,436
1994-10-04,1994-11-03,30,32,"1//3750",TRUE,TRUE,178
1994-11-03,1994-12-13,32,36,"1//3750",TRUE,TRUE,512
1994-10-04,1994-11-03,20,26,"1//3770",TRUE,TRUE,178
1994-11-03,1994-12-13,26,34,"1//3770",TRUE,TRUE,512
1994-10-04,1994-11-04,25,35,"1//3820",TRUE,TRUE,178
1994-11-04,1994-12-13,35,40,"1//3820",TRUE,TRUE,512
1994-12-13,1995-01-11,40,28,"1//3820",TRUE,TRUE,332
1995-01-11,1995-02-08,28,31,"1//3820",TRUE,TRUE,196
1995-02-08,1995-03-02,31,36,"1//3820",TRUE,TRUE,116
1994-10-04,1994-11-04,21,23,"1//4530",TRUE,TRUE,178
1994-11-04,1994-12-13,23,31,"1//4530",TRUE,TRUE,512
1994-12-13,1995-01-11,31,26,"1//4530",TRUE,TRUE,332
1994-12-13,1995-01-11,35,23,"1//42070",TRUE,TRUE,332
1994-10-05,1994-10-25,34,45,"1//42080",TRUE,TRUE,178
1994-10-25,1994-11-17,45,33,"1//42080",TRUE,TRUE,211
1994-11-17,1994-12-14,33,35,"1//42080",TRUE,TRUE,436
1994-10-05,1994-10-25,23,27,"1//43080",TRUE,TRUE,178
1994-10-25,1994-11-17,27,26,"1//43080",TRUE,TRUE,211
1994-11-17,1994-12-13,26,38,"1//43080",TRUE,TRUE,436
1995-03-04,1995-03-21,34,36,"1//43090",TRUE,TRUE,147
1995-08-08,1995-09-12,48,54,"1//43090",TRUE,TRUE,170
1995-09-12,1995-09-27,54,49,"1//43090",TRUE,TRUE,270
1994-11-17,1994-12-13,29,37,"1//4650",TRUE,TRUE,436
1994-10-05,1994-11-02,21,26,"1//4660",TRUE,TRUE,178
1994-11-02,1994-11-17,26,25,"1//4660",TRUE,TRUE,512
1994-11-17,1994-12-14,25,26,"1//4660",TRUE,TRUE,436
1994-12-14,1995-01-10,26,27,"1//4660",TRUE,TRUE,332
