year,month,week,states,suspected,confirmed,probable,hcw,deaths
25,8,32,Bauchi,4.0,2.0,,,
25,8,32,Edo,51.0,4.0,,,
25,8,32,FCT,1.0,,,,
25,8,32,Gombe,2.0,,,,
25,8,32,Jigawa,1.0,,,,
25,8,32,Ondo,26.0,6.0,,,3.0
25,8,32,Oyo,1.0,,,,
25,8,32,Total,86.0,12.0,,,3.0
25,8,31,Anambra,1.0,,,,
25,8,31,Bauchi,6.0,,,,
25,8,31,Cross River,1.0,,,,
25,8,31,Delta,1.0,,,,
25,8,31,Ebonyi,1.0,,,,
25,8,31,Edo,45.0,1.0,,,
25,8,31,FCT,1.0,,,,
25,8,31,Kwara,1.0,,,,
25,8,31,Lagos,1.0,,,,
25,8,31,Ogun,1.0,,,,
25,8,31,Ondo,35.0,7.0,,,
25,8,31,Taraba,2.0,1.0,,,1.0
25,8,31,Total,96.0,9.0,,,1.0
25,7,30,Ebonyi,2.0,,,,
25,7,30,Edo,43.0,2.0,,,
25,7,30,Enugu,3.0,,,,
25,7,30,Kaduna,1.0,,,,
25,7,30,Kano,3.0,,,,
25,7,30,Lagos,1.0,,,,
25,7,30,Ondo,37.0,1.0,,1.0,
25,7,30,Taraba,1.0,,,,
25,7,30,Total,91.0,3.0,,,
25,7,29,Abia,2.0,,,,
25,7,29,Delta,4.0,,,,
25,7,29,Ebonyi,5.0,,,,
25,7,29,Edo,52.0,4.0,,,
25,7,29,Ekiti,1.0,,,,
25,7,29,Kogi,1.0,,,,
25,7,29,Nasarawa,3.0,,,,
25,7,29,Ogun,2.0,,,,
25,7,29,Ondo,49.0,7.0,,,3.0
25,7,29,Oyo,1.0,,,,
25,7,29,Total,120.0,11.0,,,3.0
25,7,28,Benue,81.0,3.0,,,
25,7,28,Ebonyi,3.0,,,,
25,7,28,Edo,78.0,1.0,,,
25,7,28,Ekiti,1.0,,,,
25,7,28,Enugu,4.0,,,,
25,7,28,FCT,1.0,,,,
25,7,28,Lagos,2.0,,,,
25,7,28,Nasarawa,43.0,,,,
25,7,28,Ondo,50.0,7.0,,,1.0
25,7,28,Taraba,2.0,,,,
25,7,28,Total,265.0,11.0,,,1.0
25,7,27,Anambra,1.0,,,,
25,7,27,Cross River,1.0,,,,
25,7,27,Delta,1.0,,,,
25,7,27,Ebonyi,3.0,1.0,,,1.0
25,7,27,Edo,71.0,1.0,,,
25,7,27,Ekiti,1.0,,,,
25,7,27,Enugu,1.0,1.0,,,
25,7,27,Kaduna,1.0,1.0,,,1.0
25,7,27,Kano,5.0,,,,
25,7,27,Lagos,2.0,1.0,,,
25,7,27,Nasarawa,3.0,,,,
25,7,27,Ogun,1.0,,,,
25,7,27,Ondo,58.0,6.0,,,1.0
25,7,27,Total,149.0,11.0,,,3.0
25,6,26,Abia,1.0,,,,
25,6,26,Bauchi,1.0,,,,
25,6,26,Cross River,1.0,,,,
25,6,26,Delta,1.0,,,,
25,6,26,Ebonyi,2.0,,,,
25,6,26,Edo,86.0,3.0,,,2.0
25,6,26,Jigawa,2.0,,,,
25,6,26,Kaduna,2.0,,,,
25,6,26,Kogi,2.0,,,,
25,6,26,Kwara,1.0,,,,
25,6,26,Nasarawa,3.0,,,,
25,6,26,Ondo,42.0,6.0,,,1.0
25,6,26,Oyo,3.0,,,,
25,6,26,Taraba,1.0,,,,
25,6,26,Total,148.0,9.0,,,3.0
25,6,25,Anambra,1.0,,,,
25,6,25,Bauchi,4.0,,,,
25,6,25,Bayelsa,1.0,,,,
25,6,25,Delta,1.0,,,,
25,6,25,Ebonyi,3.0,,,,
25,6,25,Edo,93.0,4.0,,,
25,6,25,Ekiti,1.0,,,,
25,6,25,Gombe,16.0,,,,
25,6,25,Kogi,1.0,,,,
25,6,25,Kwara,1.0,,,,
25,6,25,Nasarawa,2.0,,,,
25,6,25,Ondo,72.0,6.0,,,
25,6,25,Oyo,1.0,,,,
25,6,25,Total,197.0,10.0,,,
25,6,24,Abia,1.0,,,,
25,6,24,Cross River,1.0,,,,
