"DATE","WEIGHT","TOE","POP","REC"
1994-06-10,12,"1//10100",27,FALSE
1994-06-28,24,"1//10100",30,FALSE
1994-06-09,16,"1//1060",27,FALSE
1994-03-15,34,"1//110",9,FALSE
1994-09-06,43,"1//11070",95,TRUE
1994-11-02,44,"1//11070",512,FALSE
1994-11-17,39,"1//11070",436,FALSE
1994-11-02,42,"1//12060",512,FALSE
1994-03-15,22,"1//130",9,FALSE
1994-09-06,40,"1//130100",95,FALSE
1994-10-04,39,"1//130100",178,FALSE
1994-10-22,37,"1//130100",211,FALSE
1994-11-09,39,"1//130100",361,FALSE
1994-09-06,34,"1//14090",95,FALSE
1994-10-05,34,"1//14090",178,FALSE
1994-11-02,20,"1//1510100",512,FALSE
1994-11-15,30,"1//15102080",436,FALSE
1994-12-13,35,"1//15102080",332,FALSE
1995-01-10,27,"1//15102080",196,FALSE
1994-11-16,23,"1//15105060",436,FALSE
1994-10-13,23,"1//151060",166,FALSE
1995-10-28,59,"1//15106080",653,FALSE
1995-11-22,43,"1//15106080",542,FALSE
1995-09-13,38,"1//15107090",270,FALSE
1995-09-28,37,"1//15107090",497,FALSE
1994-11-16,26,"1//15203090",436,FALSE
1995-02-09,19,"1//15205070",116,FALSE
1995-03-02,27,"1//15205070",147,FALSE
1995-04-04,27,"1//15205070",101,FALSE
1995-05-02,35,"1//15205070",78,FALSE
1995-08-03,25,"1//152060100",170,FALSE
1995-09-12,49,"1//152060100",270,FALSE
1995-09-28,43,"1//152060100",497,FALSE
1995-09-27,35,"1//15206070",497,FALSE
1995-10-27,38,"1//15206070",653,FALSE
1995-10-27,35,"1//15206070 B",653,FALSE
1995-08-06,14,"1//15306070",170,FALSE
1995-08-06,13,"1//15307090",170,FALSE
1995-09-13,26,"1//15307090",270,FALSE
1995-10-28,46,"1//15406070",653,FALSE
1995-11-24,40,"1//15406070",542,FALSE
1994-11-02,25,"1//154090",512,FALSE
1994-06-29,40,"1//1550",30,FALSE
1995-10-28,45,"1//155060100",653,FALSE
1995-08-06,43,"1//15506070",170,FALSE
1994-09-06,34,"1//1610",95,FALSE
1994-10-04,34,"1//1610",178,FALSE
1994-11-02,26,"1//1610100",512,FALSE
1994-11-16,21,"1//16102060",436,FALSE
1994-11-17,30,"1//16105080",436,FALSE
1994-11-17,27,"1//16105090",436,FALSE
1995-08-07,30,"1//16108090",170,FALSE
1995-09-12,44,"1//16108090",270,FALSE
1995-09-27,41,"1//16108090",497,FALSE
1994-11-17,22,"1//16204090",436,FALSE
1994-12-13,31,"1//16204090",332,FALSE
1994-11-17,22,"1//16205060",436,FALSE
1995-08-07,45,"1//16207090",170,FALSE
1995-09-14,39,"1//16207090",270,FALSE
1995-09-29,45,"1//16207090",497,FALSE
1995-10-28,43,"1//16207090",653,FALSE
1995-08-07,47,"1//16208090",170,FALSE
1994-11-02,46,"1//1630100",512,FALSE
1994-11-17,31,"1//16304080",436,FALSE
1995-08-08,49,"1//16307090",170,FALSE
1995-09-12,40,"1//163080100",270,FALSE
1995-09-27,42,"1//163080100",497,FALSE
1995-10-27,54,"1//163080100",653,FALSE
1994-11-17,24,"1//16405090",436,FALSE
1994-12-15,21,"1//16405090",332,FALSE
1995-04-05,31,"1//16405090",101,FALSE
1995-11-22,30,"1//16406080",542,FALSE
1995-12-19,28,"1//16406080",398,FALSE
1996-01-16,27,"1//16406080",186,FALSE
1995-11-23,24,"1//164070100",542,FALSE
1995-12-19,23,"1//164070100",398,FALSE
1996-01-17,23,"1//164070100",186,FALSE
