"DATE","session.start","WEIGHT","TOE","FER","POP","is.adult","SURV"
1994-03-15,1994-03-15,22,"1//130",FALSE,9,0,TRUE
1994-03-17,1994-03-15,24,"1//110",FALSE,9,0,TRUE
1994-03-17,1994-03-15,29,"1//18",FALSE,9,0,TRUE
1994-03-22,1994-03-22,27,"1//25",FALSE,19,0,FALSE
1994-03-23,1994-03-22,31,"1//110",TRUE,19,1,TRUE
1994-03-23,1994-03-22,33,"1//35",FALSE,19,0,TRUE
1994-03-24,1994-03-22,29,"1//130",TRUE,19,1,TRUE
1994-03-24,1994-03-22,30,"1//18",FALSE,19,0,TRUE
1994-03-24,1994-03-22,34,"1//270",TRUE,19,1,FALSE
1994-03-29,1994-03-29,39,"1//110",TRUE,9,1,TRUE
1994-04-06,1994-04-06,43,"1//110",TRUE,16,1,TRUE
1994-04-06,1994-04-06,44,"1//35",TRUE,16,1,TRUE
1994-04-06,1994-04-06,54,"1//45",TRUE,16,1,FALSE
1994-04-07,1994-04-06,43,"1//130",TRUE,16,1,FALSE
1994-04-07,1994-04-06,27,"1//18",FALSE,16,0,TRUE
1994-04-07,1994-04-06,39,"1//450",TRUE,16,1,FALSE
1994-04-12,1994-04-12,52,"1//110",TRUE,12,1,FALSE
1994-04-12,1994-04-12,30,"1//18",TRUE,12,1,FALSE
1994-04-12,1994-04-12,37,"1//530",TRUE,12,1,TRUE
1994-04-12,1994-04-12,41,"1//540",TRUE,12,1,FALSE
1994-05-05,1994-05-04,67,"1//35",TRUE,28,1,TRUE
1994-05-05,1994-05-04,72,"1//530",TRUE,28,1,FALSE
1994-05-05,1994-05-04,69,"1//640",TRUE,28,1,TRUE
1994-05-05,1994-05-04,67,"1//660",TRUE,28,1,FALSE
1994-05-05,1994-05-04,77,"1//710",TRUE,28,1,TRUE
1994-05-05,1994-05-04,54,"1//720",TRUE,28,1,FALSE
1994-05-05,1994-05-04,51,"1//770",TRUE,28,1,TRUE
1994-05-06,1994-05-04,50,"1//570",TRUE,28,1,FALSE
1994-05-06,1994-05-04,37,"1//580",TRUE,28,1,FALSE
1994-05-06,1994-05-04,43,"1//590",TRUE,28,1,FALSE
1994-05-06,1994-05-04,58,"1//6100",TRUE,28,1,FALSE
1994-05-06,1994-05-04,58,"1//630",TRUE,28,1,TRUE
1994-05-06,1994-05-04,65,"1//830",TRUE,28,1,TRUE
1994-05-06,1994-05-04,62,"1//840",TRUE,28,1,FALSE
1994-05-06,1994-05-04,52,"1//870",TRUE,28,1,FALSE
1994-06-09,1994-06-09,16,"1//1060",FALSE,27,0,TRUE
1994-06-09,1994-06-09,36,"1//1090",TRUE,27,1,FALSE
1994-06-09,1994-06-09,59,"1//630",TRUE,27,1,TRUE
1994-06-09,1994-06-09,94,"1//640",TRUE,27,1,TRUE
1994-06-09,1994-06-09,46,"1//8100",TRUE,27,1,TRUE
1994-06-10,1994-06-09,12,"1//10100",FALSE,27,0,TRUE
1994-06-10,1994-06-09,39,"1//2070",FALSE,27,0,FALSE
1994-06-10,1994-06-09,46,"1//770",TRUE,27,1,FALSE
1994-06-11,1994-06-09,50,"1//20100",TRUE,27,1,FALSE
1994-06-11,1994-06-09,43,"1//2090",FALSE,27,0,TRUE
1994-06-11,1994-06-09,70,"1//3060",TRUE,27,1,TRUE
1994-06-11,1994-06-09,19,"1//3070",FALSE,27,0,TRUE
1994-06-11,1994-06-09,20,"1//3080",FALSE,27,0,FALSE
1994-06-11,1994-06-09,52,"1//3090",TRUE,27,1,TRUE
1994-06-11,1994-06-09,20,"1//4070",FALSE,27,0,TRUE
1994-06-11,1994-06-09,64,"1//710",TRUE,27,1,TRUE
1994-06-28,1994-06-28,46,"1//3060",TRUE,30,1,FALSE
1994-06-28,1994-06-28,32,"1//3070",FALSE,30,0,TRUE
1994-06-28,1994-06-28,27,"1//50100",FALSE,30,0,TRUE
1994-06-28,1994-06-28,32,"1//5080",FALSE,30,0,TRUE
1994-06-28,1994-06-28,65,"1//830",TRUE,30,1,FALSE
1994-06-29,1994-06-28,80,"1//1520",TRUE,30,1,FALSE
1994-06-29,1994-06-28,40,"1//1550",TRUE,30,1,TRUE
