year,epiweek,week_commencing,confirmed_total,Nasarawa,Ondo,Edo,Bauchi,Ogun,Taraba,Rivers,Ebonyi,Plateau,Kaduna,Gombe,Cross-River,Borno,Kogi,Kano,Enugu,Anambra,Lagos,Kwara,Benue,Imo,Delta,Osun,FCT,Ekiti,Abia,Adamawa,Oyo,Kebbi,Zamfara,Katsina,Sokoto,Akwa Ibom,Bayelsa,Jigawa,Niger,Yobe
2018,1,01/01/2018,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2,08/01/2018,17,,8,4,,,,,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2018,3,15/01/2018,34,1,14,11,,,,,4,,,,,,1,,,,1,,1,1,,,,,,,,,,,,,,,,
2018,4,22/01/2018,15,,4,6,,,3,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,
2018,5,29/01/2018,17,,5,3,,,,1,,2,,1,,,,,,1,,,,,2,1,1,,,,,,,,,,,,,
2018,6,05/02/2018,19,1,7,3,2,,2,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
2018,7,12/02/2018,68,,19,35,1,,,,7,,,,,,,,,4,,,,1,,,1,,,,,,,,,,,,,
2018,8,19/02/2018,54,2,9,21,,,,,18,1,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,
2018,9,26/02/2018,35,,5,19,1,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,10,05/03/2018,12,,2,3,2,,1,,1,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,
2018,11,12/03/2018,9,,2,2,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,12,19/03/2018,18,,2,5,1,,3,,2,1,,1,,,1,,,,,,,,,1,1,,,,,,,,,,,,,
2018,13,26/03/2018,6,,1,2,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
2018,14,02/04/2018,8,,2,3,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,15,09/04/2018,5,,,2,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,
2018,16,16/04/2018,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,17,23/04/2018,4,,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,18,30/04/2018,3,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,19,07/05/2018,5,,3,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,20,14/05/2018,3,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
2018,21,21/05/2018,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,22,28/05/2018,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,23,04/06/2018,5,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,24,11/06/2018,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,25,18/06/2018,6,,1,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,26,25/06/2018,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,27,02/07/2018,7,,3,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,28,09/07/2018,6,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,29,16/07/2018,6,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,30,23/07/2018,5,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,31,30/07/2018,9,,1,7,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2018,32,06/08/2018,4,,1,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,33,13/08/2018,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,34,20/08/2018,3,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,35,27/08/2018,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,36,03/09/2018,7,,,6,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2018,37,10/09/2018,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,38,17/09/2018,4,,1,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2018,39,24/09/2018,4,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,40,01/10/2018,9,,2,5,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,41,08/10/2018,13,,4,4,,,,,2,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,
2018,42,15/10/2018,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,43,22/10/2018,9,,4,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,44,29/10/2018,5,,1,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,45,05/11/2018,5,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,46,12/11/2018,3,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,47,19/11/2018,6,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,48,26/11/2018,13,,8,2,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
2018,49,03/12/2018,7,,2,1,1,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,50,10/12/2018,12,1,2,3,4,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
2018,51,17/12/2018,14,,4,2,2,,,,,3,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,
2018,52,24/12/2018,22,,6,9,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,31/12/2018,25,1,8,9,3,,1,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
2019,2,07/01/2019,35,,12,12,3,,1,,5,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
2019,3,14/01/2019,74,,18,31,7,,5,,2,10,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
2019,4,21/01/2019,77,,28,24,3,,3,1,5,5,1,1,,,1,,1,,,1,2,,,,1,,,,,,,,,,,,,
2019,5,28/01/2019,68,1,22,20,4,,3,1,7,4,1,,,,,,,,,1,1,,1,,,,,,2,,,,,,,,,
2019,6,04/02/2019,37,,12,10,,,3,1,4,4,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,
2019,7,11/02/2019,25,,2,6,8,,4,,1,2,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,
2019,8,18/02/2019,23,2,2,11,1,,4,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
2019,9,25/02/2019,39,,12,20,2,,2,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
2019,10,04/03/2019,52,2,11,23,1,,4,,9,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2019,11,11/03/2019,23,,4,8,3,,1,,3,,,,,,,,1,,,,1,1,,,,,,,,1,,,,,,,,
2019,12,18/03/2019,15,,3,4,3,,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,13,25/03/2019,16,,4,6,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,14,01/04/2019,11,,5,2,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,15,08/04/2019,3,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,16,15/04/2019,6,,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2019,17,22/04/2019,8,,3,,,,1,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
2019,18,29/04/2019,11,,7,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,19,06/05/2019,4,,,2,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,20,13/05/2019,6,,2,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,21,20/05/2019,3,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,22,27/05/2019,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2019,23,03/06/2019,6,,1,4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
2019,24,10/06/2019,4,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,25,17/06/2019,10,,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,26,24/06/2019,2,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
2019,27,01/07/2019,12,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2019,28,08/07/2019,7,,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,29,15/07/2019,9,,1,4,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,30,22/07/2019,9,,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,31,29/07/2019,11,,3,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,32,05/08/2019,5,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,33,12/08/2019,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,34,19/08/2019,6,,2,2,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
2019,35,26/08/2019,14,,4,7,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,
2019,36,02/09/2019,9,,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,37,09/09/2019,7,,2,3,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
2019,38,16/09/2019,7,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,39,23/09/2019,13,,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,40,30/09/2019,7,,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,41,07/10/2019,5,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,42,14/10/2019,13,,6,6,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
2019,43,21/10/2019,4,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,44,28/10/2019,11,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,45,04/11/2019,10,,5,2,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
2019,46,11/11/2019,13,,7,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,47,18/11/2019,8,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,48,25/11/2019,8,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,49,02/12/2019,13,,11,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,50,09/12/2019,4,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,51,16/12/2019,7,,5,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,52,23/12/2019,16,,8,2,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1,30/12/2019,18,,7,7,1,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
2020,2,06/01/2020,64,,32,18,1,1,5,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,3,13/01/2020,81,,42,33,2,,1,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
2020,4,20/01/2020,95,1,16,34,3,1,4,3,8,4,1,,,3,4,3,2,,,,1,,3,2,,,1,1,,,,,,,,,,
2020,5,27/01/2020,104,,27,40,6,,6,,6,5,1,1,,,3,1,1,1,,,,,4,,1,,,,,1,,,,,,,,
2020,6,03/02/2020,109,3,27,39,1,,9,1,9,1,1,,,,4,1,1,,,,1,,3,,,,,1,1,1,,3,2,,,,,
2020,7,10/02/2020,115,,31,41,11,,6,,7,4,1,1,,1,3,1,1,,,,3,,,,,,2,,,,,1,1,,,,,
2020,8,17/02/2020,102,2,34,22,5,,3,5,8,6,2,2,,,5,,2,,1,,1,,1,,,,,1,,,,1,1,,,,,
2020,9,24/02/2020,85,,25,31,3,,9,,8,1,,,,,6,,,,,,1,,,,,,,,,1,,,,,,,,
2020,10,02/03/2020,81,,33,25,2,,5,,4,1,1,,,,2,,1,1,,,,,1,,,,,2,,1,,1,1,,,,,
2020,11,09/03/2020,51,1,15,11,4,,5,,8,1,,1,,,2,,1,,,,,,1,,1,,,,,,,,,,,,,
2020,12,16/03/2020,28,,5,8,2,,2,,1,2,,1,,,2,,1,,,,1,,,,1,,2,,,,,,,,,,,
2020,13,23/03/2020,19,,6,3,1,,1,,5,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,
2020,14,30/03/2020,12,,4,5,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2020,15,06/04/2020,10,1,1,6,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
2020,16,13/04/2020,6,,3,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,17,20/04/2020,8,,5,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
2020,18,27/04/2020,5,1,2,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
2020,19,04/05/2020,9,,5,2,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
2020,20,11/05/2020,6,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,21,18/05/2020,9,,5,2,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
2020,22,25/05/2020,6,,2,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
